Anno evento;Residenza;Genere;Età decesso;Gruppi cause morte;Cause morte;Cause morte violenta;Tipologia morte violenta;Numerosità
2003;Milano;Femmine;36;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;36;Malattie dell'apparato digerente;Cirrosi fegato;;;1
2003;Milano;Femmine;37;Malattie infettive e parassitarie;AIDS;;;2
2003;Milano;Femmine;37;Tumori;Altri tumori maligni dell'apparato digerente;;;1
2003;Milano;Femmine;37;Tumori;Tumori maligni della mammella;;;1
2003;Milano;Femmine;37;Malattie del sistema circolatorio;Altre malattie del sistema circolatorio;;;1
2003;Milano;Femmine;37;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;2
2003;Milano;Femmine;38;Tumori;Tumori maligni dell'intestino;;;1
2003;Milano;Femmine;38;Tumori;Tumori maligni dell'encefalo;;;1
2003;Milano;Femmine;38;Tumori;Tumori di comportamento incerto o sconosciuto;;;1
2003;Milano;Femmine;38;Malattie dell'apparato digerente;Altre malattie del fegato;;;1
2003;Milano;Femmine;38;Malattie dell'apparato digerente;Altre malattie dell'apparato digerente;;;1
2003;Milano;Femmine;39;Tumori;Tumori maligni dello stomaco;;;1
2003;Milano;Femmine;39;Tumori;Tumori maligni della mammella;;;1
2003;Milano;Femmine;39;Tumori;Altre localizzazioni di tumori maligni;;;1
2003;Milano;Femmine;39;Malattie del sistema nervoso;Altre malattie del sistema nervoso;;;1
2003;Milano;Femmine;39;Cause esterne di morbosità e mortalità;Omicidio;Omicidio;Omicidio;1
2003;Milano;Femmine;40;Tumori;Tumori maligni della mammella;;;2
2003;Milano;Femmine;40;Malattie del sistema nervoso;Altre malattie del sistema nervoso;;;1
2003;Milano;Femmine;40;Sintomi, segni e risultati anormali di esami clinici e di laboratorio;Morti improvvise da causa sconosciuta;;;1
2003;Milano;Femmine;40;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;3
2003;Milano;Femmine;41;Malattie infettive e parassitarie;Altre malattie batteriche;;;1
2003;Milano;Femmine;41;Tumori;Tumori maligni dello stomaco;;;1
2003;Milano;Femmine;41;Tumori;Tumori maligni della mammella;;;2
2003;Milano;Femmine;41;Malattie del sistema circolatorio;Emorragia cerebrale;;;2
2003;Milano;Femmine;42;Malattie infettive e parassitarie;AIDS;;;2
2003;Milano;Femmine;42;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;2
2003;Milano;Femmine;42;Tumori;Melanoma ed altri tumori maligni della cute;;;1
2003;Milano;Femmine;42;Tumori;Tumori maligni della mammella;;;1
2003;Milano;Femmine;42;Tumori;Altre localizzazioni di tumori maligni;;;1
2003;Milano;Femmine;42;Malattie del sistema respiratorio;Polmonite;;;1
2003;Milano;Femmine;42;Malattie del sistema respiratorio;Altre malattie dell'apparato respiratorio;;;1
2003;Milano;Femmine;42;Malattie dell'apparato digerente;Altre malattie dell'apparato digerente;;;1
2003;Milano;Femmine;42;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;1
2003;Milano;Femmine;43;Malattie infettive e parassitarie;AIDS;;;1
2003;Milano;Femmine;43;Tumori;Tumori maligni cavità boccale e faringe;;;1
2003;Milano;Femmine;43;Tumori;Tumori maligni della mammella;;;2
2003;Milano;Femmine;43;Tumori;Altri tumori maligni dei tessuti linfatici;;;1
2003;Milano;Femmine;43;Malattie del sistema nervoso;Altre malattie del sistema nervoso;;;1
2003;Milano;Femmine;43;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;44;Malattie infettive e parassitarie;AIDS;;;3
2003;Milano;Femmine;44;Tumori;Tumori maligni dell'occhio e altre parti del sistema nervoso centrale;;;1
2003;Milano;Femmine;44;Tumori;Altri tumori maligni dei tessuti linfatici;;;1
2003;Milano;Femmine;44;Tumori;Altre localizzazioni di tumori maligni;;;1
2003;Milano;Femmine;44;Malattie del sistema circolatorio;Altri disturbi circolatori dell'encefalo;;;2
2003;Milano;Femmine;44;Malattie del sistema osteomuscolare e tessuto connettivo;Altre malattie del sistema osteomuscolare e tessuto connettivo;;;1
2003;Milano;Femmine;45;Malattie infettive e parassitarie;AIDS;;;1
2003;Milano;Femmine;45;Tumori;Tumori maligni cavità boccale e faringe;;;1
2003;Milano;Femmine;45;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;2
2003;Milano;Femmine;45;Tumori;Tumori maligni della mammella;;;4
2003;Milano;Femmine;45;Tumori;Altri tumori maligni degli organi genitali femminili;;;3
2003;Milano;Femmine;45;Tumori;Tumori maligni dell'apparato urinario;;;1
2003;Milano;Femmine;45;Malattie del sistema nervoso;Altre malattie del sistema nervoso;;;1
2003;Milano;Femmine;45;Malattie del sistema respiratorio;Bronchite;;;1
2003;Milano;Femmine;45;Malattie del sistema respiratorio;Altre malattie dell'apparato respiratorio;;;1
2003;Milano;Femmine;45;Malattie dell'apparato digerente;Occlusione intestinale;;;1
2003;Milano;Femmine;46;Tumori;Tumori maligni del fegato e vie biliari;;;1
2003;Milano;Femmine;46;Tumori;Altri tumori maligni dell'apparato digerente;;;1
2003;Milano;Femmine;46;Tumori;Tumori maligni della mammella;;;2
2003;Milano;Femmine;46;Tumori;Leucemie;;;1
2003;Milano;Femmine;46;Tumori;Altre localizzazioni di tumori maligni;;;1
2003;Milano;Femmine;46;Malattie del sistema circolatorio;Altre malattie del sistema circolatorio;;;1
2003;Milano;Femmine;46;Malattie del sistema respiratorio;Altre malattie dell'apparato respiratorio;;;1
2003;Milano;Femmine;46;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;1
2003;Milano;Femmine;47;Malattie infettive e parassitarie;AIDS;;;1
2003;Milano;Femmine;47;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;2
2003;Milano;Femmine;47;Tumori;Tumori maligni della mammella;;;3
2003;Milano;Femmine;47;Tumori;Tumori maligni dell'utero;;;1
2003;Milano;Femmine;47;Tumori;Altri tumori maligni degli organi genitali femminili;;;1
2003;Milano;Femmine;47;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;47;Malattie del sistema circolatorio;Emorragia cerebrale;;;1
2003;Milano;Femmine;47;Malattie del sistema circolatorio;Altri disturbi circolatori dell'encefalo;;;1
2003;Milano;Femmine;47;Malattie dell'apparato digerente;Cirrosi fegato;;;1
2003;Milano;Femmine;48;Malattie infettive e parassitarie;Altre malattie batteriche;;;1
2003;Milano;Femmine;48;Tumori;Tumori maligni dell'intestino;;;1
2003;Milano;Femmine;48;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;1
2003;Milano;Femmine;48;Tumori;Tumori maligni della mammella;;;4
2003;Milano;Femmine;48;Tumori;Altri tumori maligni dei tessuti linfatici;;;1
2003;Milano;Femmine;48;Malattie del sistema respiratorio;Polmonite;;;1
2003;Milano;Femmine;48;Malattie dell'apparato digerente;Altre malattie del fegato;;;1
2003;Milano;Femmine;48;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;1
2003;Milano;Femmine;49;Tumori;Tumori maligni cavità boccale e faringe;;;1
2003;Milano;Femmine;49;Tumori;Tumori maligni della mammella;;;3
2003;Milano;Femmine;49;Tumori;Altre localizzazioni di tumori maligni;;;1
2003;Milano;Femmine;49;Malattie endocrine, nutrizionali e metaboliche;Diabete mellito;;;1
2003;Milano;Femmine;49;Disturbi psichici e comportamentali;Disturbi comportamentali;;;1
2003;Milano;Femmine;49;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;49;Malattie del sistema circolatorio;Arteriosclerosi generalizzata;;;1
2003;Milano;Femmine;49;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;1
2003;Milano;Femmine;50;Malattie infettive e parassitarie;AIDS;;;1
2003;Milano;Femmine;50;Tumori;Tumori maligni dello stomaco;;;1
2003;Milano;Femmine;50;Tumori;Tumori maligni dell'intestino;;;1
2003;Milano;Femmine;50;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;3
2003;Milano;Femmine;50;Tumori;Tumori maligni della mammella;;;2
2003;Milano;Femmine;50;Tumori;Tumori maligni dell'apparato urinario;;;1
2003;Milano;Femmine;50;Tumori;Altre localizzazioni di tumori maligni;;;1
2003;Milano;Femmine;50;Malattie del sistema nervoso;Epilessie;;;1
2003;Milano;Femmine;50;Malattie del sistema circolatorio;Ipertensione;;;1
2003;Milano;Femmine;50;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;50;Malattie del sistema respiratorio;Polmonite;;;1
2003;Milano;Femmine;50;Malattie dell'apparato digerente;Altre malattie dell'apparato digerente;;;1
2003;Milano;Femmine;51;Tumori;Tumori maligni dell'intestino;;;1
2003;Milano;Femmine;51;Tumori;Altri tumori maligni dell'apparato digerente;;;1
2003;Milano;Femmine;51;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;3
2003;Milano;Femmine;51;Tumori;Tumori maligni della mammella;;;3
2003;Milano;Femmine;51;Tumori;Tumori maligni dell'utero;;;1
2003;Milano;Femmine;51;Tumori;Altri tumori maligni degli organi genitali femminili;;;1
2003;Milano;Femmine;51;Tumori;Tumori maligni dell'apparato urinario;;;1
2003;Milano;Femmine;51;Malattie del sistema nervoso;Altre malattie del sistema nervoso;;;1
2003;Milano;Femmine;51;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;51;Malattie del sistema circolatorio;Altri disturbi circolatori dell'encefalo;;;1
2003;Milano;Femmine;51;Malattie del sistema respiratorio;Altre malattie dell'apparato respiratorio;;;2
2003;Milano;Femmine;51;Malattie dell'apparato digerente;Cirrosi fegato;;;1
2003;Milano;Femmine;51;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;2
2003;Milano;Femmine;52;Tumori;Tumori maligni dello stomaco;;;1
2003;Milano;Femmine;52;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;1
2003;Milano;Femmine;52;Tumori;Tumori maligni della mammella;;;4
2003;Milano;Femmine;52;Tumori;Leucemie;;;1
2003;Milano;Femmine;52;Tumori;Altri tumori maligni dei tessuti linfatici;;;1
2003;Milano;Femmine;52;Malattie del sistema circolatorio;Ipertensione;;;1
2003;Milano;Femmine;52;Malattie del sistema circolatorio;Altre malattie del cuore;;;2
2003;Milano;Femmine;52;Malattie dell'apparato digerente;Altre malattie dell'apparato digerente;;;1
2003;Milano;Femmine;52;Malattie del sistema osteomuscolare e tessuto connettivo;Altre malattie del sistema osteomuscolare e tessuto connettivo;;;1
2003;Milano;Femmine;53;Malattie infettive e parassitarie;AIDS;;;1
2003;Milano;Femmine;53;Tumori;Tumori maligni del fegato e vie biliari;;;1
2003;Milano;Femmine;53;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;3
2003;Milano;Femmine;53;Tumori;Tumori maligni della mammella;;;3
2003;Milano;Femmine;53;Tumori;Altri tumori maligni degli organi genitali femminili;;;1
2003;Milano;Femmine;53;Tumori;Tumori maligni dell'apparato urinario;;;1
2003;Milano;Femmine;53;Tumori;Leucemie;;;1
2003;Milano;Femmine;53;Malattie del sistema nervoso;Altre malattie del sistema nervoso;;;1
2003;Milano;Femmine;53;Malattie del sistema circolatorio;Altre malattie ischemiche del cuore;;;1
2003;Milano;Femmine;53;Malattie dell'apparato digerente;Cirrosi fegato;;;1
2003;Milano;Femmine;53;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;1
2003;Milano;Femmine;54;Tumori;Tumori maligni dell'intestino;;;2
2003;Milano;Femmine;54;Tumori;Tumori maligni del fegato e vie biliari;;;1
2003;Milano;Femmine;54;Tumori;Altri tumori maligni dell'apparato digerente;;;1
2003;Milano;Femmine;54;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;2
2003;Milano;Femmine;54;Tumori;Tumori maligni della mammella;;;4
2003;Milano;Femmine;54;Tumori;Altri tumori maligni degli organi genitali femminili;;;3
2003;Milano;Femmine;54;Tumori;Altre localizzazioni di tumori maligni;;;2
2003;Milano;Femmine;54;Malattie endocrine, nutrizionali e metaboliche;Diabete mellito;;;1
2003;Milano;Femmine;54;Malattie del sistema circolatorio;Malattie del circolo polmonare;;;1
2003;Milano;Femmine;54;Malattie del sistema circolatorio;Altre malattie del cuore;;;2
2003;Milano;Femmine;54;Malattie del sistema circolatorio;Trombosi cerebrale ed embolia;;;1
2003;Milano;Femmine;54;Malattie del sistema circolatorio;Altre malattie del sistema circolatorio;;;1
2003;Milano;Femmine;54;Malattie del sistema respiratorio;Altre malattie dell'apparato respiratorio;;;1
2003;Milano;Femmine;54;Malattie dell'apparato digerente;Cirrosi fegato;;;2
2003;Milano;Femmine;54;Malattie dell'apparato digerente;Altre malattie del fegato;;;1
2003;Milano;Femmine;55;Tumori;Tumori maligni dello stomaco;;;1
2003;Milano;Femmine;55;Tumori;Tumori maligni dell'intestino;;;1
2003;Milano;Femmine;55;Tumori;Altri tumori maligni dell'apparato digerente;;;1
2003;Milano;Femmine;55;Tumori;Tumori maligni dell'utero;;;1
2003;Milano;Femmine;55;Tumori;Altri tumori maligni degli organi genitali femminili;;;2
2003;Milano;Femmine;55;Tumori;Leucemie;;;1
2003;Milano;Femmine;55;Tumori;Altri tumori maligni dei tessuti linfatici;;;1
2003;Milano;Femmine;55;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;55;Malattie dell'apparato digerente;Cirrosi fegato;;;1
2003;Milano;Femmine;55;Cause esterne di morbosità e mortalità;Altre cause esterne di traumatismo accidentale;Altre cause esterne di traumatismo accidentale;Accidentale;1
2003;Milano;Femmine;56;Tumori;Tumori maligni dell'intestino;;;2
2003;Milano;Femmine;56;Tumori;Tumori maligni del fegato e vie biliari;;;1
2003;Milano;Femmine;56;Tumori;Altri tumori maligni dell'apparato digerente;;;1
2003;Milano;Femmine;56;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;1
2003;Milano;Femmine;56;Tumori;Altri tumori maligni dell'apparato respiratorio;;;1
2003;Milano;Femmine;56;Tumori;Tumori maligni della mammella;;;4
2003;Milano;Femmine;56;Tumori;Tumori maligni dell'utero;;;2
2003;Milano;Femmine;56;Tumori;Altri tumori maligni degli organi genitali femminili;;;1
2003;Milano;Femmine;56;Tumori;Tumori maligni dell'encefalo;;;1
2003;Milano;Femmine;56;Tumori;Leucemie;;;1
2003;Milano;Femmine;56;Tumori;Altri tumori maligni dei tessuti linfatici;;;1
2003;Milano;Femmine;56;Tumori;Altre localizzazioni di tumori maligni;;;2
2003;Milano;Femmine;56;Malattie del sistema circolatorio;Ipertensione;;;2
2003;Milano;Femmine;56;Malattie del sistema circolatorio;Altre malattie ischemiche del cuore;;;1
2003;Milano;Femmine;56;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;56;Malattie del sistema circolatorio;Altri disturbi circolatori dell'encefalo;;;1
2003;Milano;Femmine;56;Malattie del sistema respiratorio;Bronchite;;;1
2003;Milano;Femmine;56;Malattie dell'apparato digerente;Cirrosi fegato;;;2
2003;Milano;Femmine;56;Malattie dell'apparato digerente;Altre malattie dell'apparato digerente;;;1
2003;Milano;Femmine;56;Cause esterne di morbosità e mortalità;Altre cause esterne di traumatismo accidentale;Altre cause esterne di traumatismo accidentale;Accidentale;2
2003;Milano;Femmine;56;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;1
2003;Milano;Femmine;57;Tumori;Tumori maligni cavità boccale e faringe;;;1
2003;Milano;Femmine;57;Tumori;Tumori maligni dell'intestino;;;1
2003;Milano;Femmine;57;Tumori;Tumori maligni del fegato e vie biliari;;;1
2003;Milano;Femmine;57;Tumori;Altri tumori maligni dell'apparato digerente;;;1
2003;Milano;Femmine;57;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;4
2003;Milano;Femmine;57;Tumori;Altri tumori maligni dell'apparato respiratorio;;;1
2003;Milano;Femmine;57;Tumori;Tumori maligni della mammella;;;10
2003;Milano;Femmine;57;Tumori;Tumori maligni dell'utero;;;1
2003;Milano;Femmine;57;Tumori;Altri tumori maligni degli organi genitali femminili;;;4
2003;Milano;Femmine;57;Tumori;Tumori maligni della tiroide e delle altre ghiandole endocrine;;;1
2003;Milano;Femmine;57;Tumori;Leucemie;;;2
2003;Milano;Femmine;57;Tumori;Altre localizzazioni di tumori maligni;;;2
2003;Milano;Femmine;57;Malattie del sistema circolatorio;Altri disturbi circolatori dell'encefalo;;;1
2003;Milano;Femmine;57;Malattie del sistema respiratorio;Polmonite;;;1
2003;Milano;Femmine;57;Malattie del sistema respiratorio;Altre malattie dell'apparato respiratorio;;;1
2003;Milano;Femmine;57;Malattie dell'apparato digerente;Cirrosi fegato;;;2
2003;Milano;Femmine;57;Sintomi, segni e risultati anormali di esami clinici e di laboratorio;Sintomi, segni e risultati anormali di esami;;;1
2003;Milano;Femmine;57;Cause esterne di morbosità e mortalità;Accidenti da trasporto;Accidenti da trasporto;Accidentale;1
2003;Milano;Femmine;58;Tumori;Tumori maligni dell'intestino;;;1
2003;Milano;Femmine;58;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;2
2003;Milano;Femmine;58;Tumori;Tumori maligni della mammella;;;3
2003;Milano;Femmine;58;Tumori;Tumori maligni dell'utero;;;1
2003;Milano;Femmine;58;Tumori;Altri tumori maligni degli organi genitali femminili;;;5
2003;Milano;Femmine;58;Tumori;Tumori maligni dell'apparato urinario;;;1
2003;Milano;Femmine;58;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;58;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;2
2003;Milano;Femmine;59;Tumori;Tumori maligni dello stomaco;;;1
2003;Milano;Femmine;59;Tumori;Tumori maligni dell'intestino;;;2
2003;Milano;Femmine;59;Tumori;Tumori maligni del fegato e vie biliari;;;1
2003;Milano;Femmine;59;Tumori;Altri tumori maligni dell'apparato digerente;;;1
2003;Milano;Femmine;59;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;2
2003;Milano;Femmine;59;Tumori;Tumori maligni della mammella;;;7
2003;Milano;Femmine;59;Tumori;Altri tumori maligni dei tessuti linfatici;;;4
2003;Milano;Femmine;59;Tumori;Altre localizzazioni di tumori maligni;;;3
2003;Milano;Femmine;59;Malattie endocrine, nutrizionali e metaboliche;Disturbi metabolici;;;1
2003;Milano;Femmine;59;Disturbi psichici e comportamentali;Disturbi psichici;;;1
2003;Milano;Femmine;59;Malattie del sistema circolatorio;Altre malattie del sistema circolatorio;;;1
2003;Milano;Femmine;59;Malattie dell'apparato digerente;Altre malattie del fegato;;;1
2003;Milano;Femmine;59;Cause esterne di morbosità e mortalità;Suicidio;Suicidio;Suicidio;2
2003;Milano;Femmine;59;Cause esterne di morbosità e mortalità;Omicidio;Omicidio;Omicidio;1
2003;Milano;Femmine;60;Tumori;Tumori maligni del fegato e vie biliari;;;2
2003;Milano;Femmine;60;Tumori;Altri tumori maligni dell'apparato digerente;;;1
2003;Milano;Femmine;60;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;5
2003;Milano;Femmine;60;Tumori;Tumori maligni della mammella;;;5
2003;Milano;Femmine;60;Tumori;Tumori maligni dell'utero;;;1
2003;Milano;Femmine;60;Tumori;Altri tumori maligni degli organi genitali femminili;;;3
2003;Milano;Femmine;60;Tumori;Tumori maligni dell'encefalo;;;4
2003;Milano;Femmine;60;Tumori;Altri tumori maligni dei tessuti linfatici;;;1
2003;Milano;Femmine;60;Tumori;Altre localizzazioni di tumori maligni;;;1
2003;Milano;Femmine;60;Malattie del sistema circolatorio;Infarto miocardico acuto e pregresso;;;1
2003;Milano;Femmine;60;Malattie del sistema circolatorio;Altre malattie del cuore;;;1
2003;Milano;Femmine;60;Malattie del sistema circolatorio;Emorragia cerebrale;;;1
2003;Milano;Femmine;60;Malattie del sistema circolatorio;Altri disturbi circolatori dell'encefalo;;;1
2003;Milano;Femmine;60;Malattie dell'apparato digerente;Cirrosi fegato;;;2
2003;Milano;Femmine;60;Malattie dell'apparato genitourinario;Insufficienza renale;;;1
2003;Milano;Femmine;60;Sintomi, segni e risultati anormali di esami clinici e di laboratorio;Morti improvvise da causa sconosciuta;;;2
2003;Milano;Femmine;61;Tumori;Tumori maligni dello stomaco;;;2
2003;Milano;Femmine;61;Tumori;Tumori maligni dell'intestino;;;3
2003;Milano;Femmine;61;Tumori;Altri tumori maligni dell'apparato digerente;;;3
2003;Milano;Femmine;61;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;6
2003;Milano;Femmine;61;Tumori;Melanoma ed altri tumori maligni della cute;;;1
2003;Milano;Femmine;61;Tumori;Tumori maligni della mammella;;;4
2003;Milano;Femmine;61;Tumori;Tumori maligni dell'utero;;;2
2003;Milano;Femmine;61;Tumori;Tumori maligni dell'encefalo;;;5
2003;Milano;Femmine;61;Tumori;Leucemie;;;3
2003;Milano;Femmine;61;Tumori;Altri tumori maligni dei tessuti linfatici;;;2
2003;Milano;Femmine;61;Tumori;Altre localizzazioni di tumori maligni;;;2
2003;Milano;Femmine;61;Malattie del sangue, degli organi ematopoietici e alcuni disturbi immunitari;Altre malattie del sangue;;;1
2003;Milano;Femmine;61;Malattie endocrine, nutrizionali e metaboliche;Diabete mellito;;;1
2003;Milano;Femmine;61;Malattie del sistema circolatorio;Infarto miocardico acuto e pregresso;;;1
2003;Milano;Femmine;61;Malattie del sistema circolatorio;Altre malattie ischemiche del cuore;;;1
2003;Milano;Femmine;61;Malattie del sistema circolatorio;Altre malattie del cuore;;;3
2003;Milano;Femmine;61;Malattie del sistema circolatorio;Altri disturbi circolatori dell'encefalo;;;1
2003;Milano;Femmine;61;Malattie del sistema respiratorio;Polmonite;;;1
2003;Milano;Femmine;61;Malattie del sistema respiratorio;Altre malattie dell'apparato respiratorio;;;1
2003;Milano;Femmine;61;Malattie dell'apparato digerente;Altre malattie del fegato;;;1
2003;Milano;Femmine;61;Cause esterne di morbosità e mortalità;Omicidio;Omicidio;Omicidio;1
2003;Milano;Femmine;62;Tumori;Tumori maligni dello stomaco;;;1
2003;Milano;Femmine;62;Tumori;Tumori maligni dell'intestino;;;2
2003;Milano;Femmine;62;Tumori;Tumori maligni del fegato e vie biliari;;;1
2003;Milano;Femmine;62;Tumori;Altri tumori maligni dell'apparato digerente;;;3
2003;Milano;Femmine;62;Tumori;Tumori maligni della trachea, bronchi, polmoni;;;4
2003;Milano;Femmine;62;Tumori;Altri tumori maligni dell'apparato respiratorio;;;1
2003;Milano;Femmine;62;Tumori;Tumori maligni della mammella;;;4
2003;Milano;Femmine;62;Tumori;Altri tumori maligni degli organi genitali femminili;;;2
2003;Milano;Femmine;62;Tumori;Altri tumori maligni dei tessuti linfatici;;;3
2003;Milano;Femmine;62;Malattie del sangue, degli organi ematopoietici e alcuni disturbi immunitari;Anemie;;;1
2003;Milano;Femmine;62;Malattie endocrine, nutrizionali e metaboliche;Diabete mellito;;;1
2003;Milano;Femmine;62;Malattie endocrine, nutrizionali e metaboliche;Disturbi metabolici;;;1
2003;Milano;Femmine;62;Malattie del sistema nervoso;Altre malattie del sistema nervoso;;;1
2003;Milano;Femmine;62;Malattie del sistema circolatorio;Ipertensione;;;1
2003;Milano;Femmine;62;Malattie del sistema circolatorio;Infarto miocardico acuto e pregresso;;;4
2003;Milano;Femmine;62;Malattie del sistema circolatorio;Altri disturbi circolatori dell'encefalo;;;1
2003;Milano;Femmine;62;Malattie del sistema respiratorio;Bronchite;;;1
2003;Milano;Femmine;62;Malattie dell'apparato digerente;Altre malattie del fegato;;;1
2003;Milano;Femmine;62;Malattie dell'apparato genitourinario;Insufficienza renale;;;1
